gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.4,6205.39,No
Female,0,No,Yes,33,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,76.46,2547.6,No
Female,1,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),46.03,2313.92,No
Male,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),45.52,3220.5,No
Male,0,No,No,3,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),78.29,230.19,No
Female,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,117.94,951.32,Yes
Male,1,No,No,67,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),67.05,4456.11,No
Female,1,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,98.79,4088.86,Yes
Male,0,No,No,45,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,76.48,3427.67,No
Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,53.78,1263.39,No
Female,0,No,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),83.26,4948.59,No
Female,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,104.79,4920.44,No
Female,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),43.95,741.26,No
Female,0,No,No,47,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.96,3816.88,No
Female,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),82.41,23.84,No
Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.43,1702.5,Yes
Female,0,No,No,14,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,72.56,1012.43,No
Male,0,No,No,57,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,54.73,3115.63,No
Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.24,4269.36,No
Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,105.42,633.48,Yes
Female,0,Yes,No,66,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),101.16,6692.41,No
Male,0,Yes,No,59,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),76.1,4510.23,Yes
Male,0,Yes,No,31,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),81.29,2482.82,No
Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.6,526.85,No
Female,1,Yes,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),56.19,1701.97,No
Female,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.85,904.68,No
Male,1,No,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),117.35,5250.56,Yes
Female,1,No,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),100.17,2486.54,No
Female,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,63.73,469.55,No
Male,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.55,1018.99,No
Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.68,1743.32,No
Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),105.3,2017.7,Yes
Male,0,Yes,No,46,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),81.27,3761.51,No
Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,92.01,3729.83,Yes
Female,1,Yes,No,36,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.11,2590.23,No
Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.49,0.0,No
Female,0,No,Yes,22,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,51.28,1085.98,No
Female,0,No,No,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.32,2337.02,No
Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.6,5090.15,No
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,111.91,6737.09,No
Male,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,80.42,5107.08,Yes
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.97,3089.97,Yes
Female,0,No,Yes,23,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.02,1430.93,No
Male,0,No,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),69.98,2540.0,No
Male,0,No,No,57,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,81.64,4611.93,No
Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.99,1922.54,No
Male,1,No,No,43,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),50.26,2114.94,No
Female,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.09,658.81,No
Female,0,Yes,Yes,50,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.26,2994.97,No
Female,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.42,1650.81,No
Female,0,No,No,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,70.4,3370.84,No
Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.41,1100.72,No
Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,112.32,6833.73,Yes
Male,1,Yes,No,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),86.3,5913.04,No
Male,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,102.45,5911.9,No
Male,0,No,No,64,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.55,4468.94,No
Female,0,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.05,557.97,No
Male,0,Yes,No,30,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,119.92,3593.75,Yes
Female,0,No,No,18,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),81.14,1491.47,No
Female,0,No,Yes,26,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,73.77,1935.2,No
Female,0,No,Yes,53,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,92.35,4922.81,No
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.16,1414.17,No
Male,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.99,44.65,No
Female,0,Yes,No,55,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),80.38,4397.44,No
Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,80.48,1139.11,No
Male,0,No,Yes,13,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),76.81,1001.44,Yes
Female,0,Yes,No,39,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,73.38,2818.26,No
Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.55,890.74,No
Male,0,No,No,70,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,73.16,5080.33,No
Male,1,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),93.83,965.28,No
